month,state,permit,handgun,long_gun,other,Total Sales,Year,Month
2016-05,Pennsylvania,20806,39963,8770,23,48756,2016,May
2016-05,Puerto Rico,0,991,166,24,1181,2016,May
2016-05,Rhode Island,0,936,536,28,1500,2016,May
2016-05,South Carolina,11329,7570,3922,363,11855,2016,May
2016-05,South Dakota,922,2161,2666,191,5018,2016,May
2016-05,Tennessee,2564,19232,10394,0,29626,2016,May
2016-05,Texas,25496,39446,25424,2559,67429,2016,May
2016-05,Utah,16748,3097,3067,235,6399,2016,May
2016-05,Vermont,0,1096,1026,62,2184,2016,May
2016-05,Virgin Islands,84,26,2,0,28,2016,May
2016-05,Virginia,943,18183,10896,758,29837,2016,May
2016-05,Washington,12459,14601,9033,1334,24968,2016,May
2016-05,West Virginia,1939,6099,4179,232,10510,2016,May
2016-05,Wisconsin,6549,11438,8481,562,20481,2016,May
2016-05,Wyoming,868,1497,1671,97,3265,2016,May
2016-04,Alabama,20959,9742,6977,320,17039,2016,Apr
2016-04,Alaska,298,3036,2777,178,5991,2016,Apr
2016-04,Arizona,7230,13086,7278,885,21249,2016,Apr
2016-04,Arkansas,5825,5334,4513,193,10040,2016,Apr
2016-04,California,93023,41862,30133,5247,77242,2016,Apr
2016-04,Colorado,8900,17897,12560,1048,31505,2016,Apr
2016-04,Connecticut,16609,11882,3936,229,16047,2016,Apr
2016-04,Delaware,848,1878,1313,72,3263,2016,Apr
2016-04,District of Columbia,11,55,3,0,58,2016,Apr
2016-04,Florida,27570,48697,19716,2788,71201,2016,Apr
2016-04,Georgia,16847,13673,6764,385,20822,2016,Apr
2016-04,Guam,0,100,45,8,153,2016,Apr
2016-04,Hawaii,1452,0,0,0,0,2016,Apr
2016-04,Idaho,2400,3376,3720,179,7275,2016,Apr
2016-04,Illinois,117410,24894,11132,0,36026,2016,Apr
2016-04,Indiana,91355,20756,12137,1079,33972,2016,Apr
2016-04,Iowa,12650,184,2453,27,2664,2016,Apr
2016-04,Kansas,1392,5785,4540,333,10658,2016,Apr
2016-04,Kentucky,285372,9657,7070,223,16950,2016,Apr
2016-04,Louisiana,2192,11703,6552,685,18940,2016,Apr
2016-04,Maine,656,3970,3254,184,7408,2016,Apr
2016-04,Mariana Islands,0,0,0,0,0,2016,Apr
